Rank,Artist,Title,Highest rank,Weeks lasted
1,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,1 Peak Rank,1 Weeks on Chart
2,The Weeknd,Blinding Lights,1 Peak Rank,22 Weeks on Chart
3,Drake,Toosie Slide,1 Peak Rank,4 Weeks on Chart
4,Megan Thee Stallion Featuring Beyonce,Savage,4 Peak Rank,7 Weeks on Chart
5,Roddy Ricch,The Box,1 Peak Rank,21 Weeks on Chart
6,Doja Cat Featuring Nicki Minaj,Say So,5 Peak Rank,17 Weeks on Chart
7,Dua Lipa,Don't Start Now,2 Peak Rank,26 Weeks on Chart
8,Post Malone,Circles,1 Peak Rank,35 Weeks on Chart
9,Justin Bieber Featuring Quavo,Intentions,8 Peak Rank,12 Weeks on Chart
10,Harry Styles,Adore You,6 Peak Rank,21 Weeks on Chart
11,Juice WRLD,Righteous,11 Peak Rank,1 Weeks on Chart
12,Future Featuring Drake,Life Is Good,2 Peak Rank,16 Weeks on Chart
13,Camila Cabello Featuring DaBaby,My Oh My,12 Peak Rank,21 Weeks on Chart
14,DaBaby Featuring Roddy Ricch,Rockstar,9 Peak Rank,2 Weeks on Chart
15,Maren Morris,The Bones,12 Peak Rank,32 Weeks on Chart
16,Billie Eilish,Everything I Wanted,8 Peak Rank,25 Weeks on Chart
17,Lewis Capaldi,Someone You Loved,1 Peak Rank,51 Weeks on Chart
18,Blake Shelton Duet With Gwen Stefani,Nobody But You,18 Peak Rank,16 Weeks on Chart
19,Gabby Barrett,I Hope,16 Peak Rank,18 Weeks on Chart
20,Lil Mosey,Blueberry Faygo,16 Peak Rank,12 Weeks on Chart
21,Maroon 5,Memories,2 Peak Rank,32 Weeks on Chart
22,Morgan Wallen,Chasin' You,21 Peak Rank,14 Weeks on Chart
23,SAINt JHN,Roses (Imanbek Remix),22 Peak Rank,6 Weeks on Chart
24,Trevor Daniel,Falling,22 Peak Rank,24 Weeks on Chart
25,Roddy Ricch Featuring Mustard,High Fashion,20 Peak Rank,18 Weeks on Chart
26,Powfu Featuring beabadoobee,Death Bed,26 Peak Rank,7 Weeks on Chart
27,blackbear,Hot Girl Bummer,11 Peak Rank,33 Weeks on Chart
28,Surfaces,Sunday Best,28 Peak Rank,9 Weeks on Chart
29,The Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),26 Peak Rank,23 Weeks on Chart
30,Luke Combs Featuring Eric Church,Does To Me,30 Peak Rank,7 Weeks on Chart
31,Rod Wave,Heart On Ice,25 Peak Rank,25 Weeks on Chart
32,Mustard & Roddy Ricch,Ballin',11 Peak Rank,41 Weeks on Chart
33,Arizona Zervas,Roxanne,4 Peak Rank,26 Weeks on Chart
34,Tones And I,Dance Monkey,4 Peak Rank,30 Weeks on Chart
35,Jack Harlow,Whats Poppin,35 Peak Rank,12 Weeks on Chart
36,Dua Lipa,Break My Heart,21 Peak Rank,5 Weeks on Chart
37,The Weeknd,Heartless,1 Peak Rank,23 Weeks on Chart
38,Travis Scott,HIGHEST IN THE ROOM,1 Peak Rank,22 Weeks on Chart
39,Carly Pearce & Lee Brice,I Hope You're Happy Now,39 Peak Rank,17 Weeks on Chart
40,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,40 Peak Rank,7 Weeks on Chart
41,twenty one pilots,Level Of Concern,23 Peak Rank,3 Weeks on Chart
42,Demi Lovato,I Love Me,18 Peak Rank,8 Weeks on Chart
43,Ingrid Andress,More Hearts Than Mine,30 Peak Rank,18 Weeks on Chart
44,Travis Denning,After A Few,44 Peak Rank,5 Weeks on Chart
45,Lil Baby,All In,45 Peak Rank,1 Weeks on Chart
46,Dan + Shay & Justin Bieber,"10,000 Hours",4 Peak Rank,30 Weeks on Chart
47,Sam Hunt,Hard To Forget,40 Peak Rank,5 Weeks on Chart
48,BENEE Featuring Gus Dapperton,Supalonely,48 Peak Rank,7 Weeks on Chart
49,Travis Scott,Goosebumps,32 Peak Rank,35 Weeks on Chart
50,Lewis Capaldi,Before You Go,50 Peak Rank,13 Weeks on Chart
51,The Weeknd,In Your Eyes,16 Peak Rank,6 Weeks on Chart
52,Pop Smoke,Dior,30 Peak Rank,11 Weeks on Chart
53,Lil Baby,Sum 2 Prove,16 Peak Rank,16 Weeks on Chart
54,H.E.R. Featuring YG,Slide,43 Peak Rank,19 Weeks on Chart
55,Brett Young,Catch,29 Peak Rank,14 Weeks on Chart
56,NLE Choppa Featuring Roddy Ricch,Walk Em Down,56 Peak Rank,6 Weeks on Chart
57,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,57 Peak Rank,14 Weeks on Chart
58,DaBaby Featuring YoungBoy Never Broke Again,Jump,17 Peak Rank,2 Weeks on Chart
59,JP Saxe Featuring Julia Michaels,If The World Was Ending,59 Peak Rank,5 Weeks on Chart
60,JACKBOYS Featuring Young Thug,Out West,38 Peak Rank,16 Weeks on Chart
61,Lady Gaga,Stupid Love,5 Peak Rank,9 Weeks on Chart
62,Bad Bunny,Yo Perreo Sola,53 Peak Rank,7 Weeks on Chart
63,Sam Smith & Demi Lovato,I'm Ready,36 Peak Rank,2 Weeks on Chart
64,Jhene Aiko,P*$$y Fairy (OTW),40 Peak Rank,15 Weeks on Chart
65,Lil Uzi Vert,Sasuke,65 Peak Rank,1 Weeks on Chart
66,Eminem Featuring Juice WRLD,Godzilla,3 Peak Rank,15 Weeks on Chart
67,DaBaby,Find My Way,22 Peak Rank,4 Weeks on Chart
68,Kane Brown,Cool Again,68 Peak Rank,1 Weeks on Chart
69,PARTYNEXTDOOR & Rihanna,Believe It,23 Peak Rank,5 Weeks on Chart
70,Miranda Lambert,Bluebird,70 Peak Rank,4 Weeks on Chart
71,Lil Baby,Emotionally Scarred,31 Peak Rank,9 Weeks on Chart
72,Halsey,You Should Be Sad,26 Peak Rank,16 Weeks on Chart
73,Kenny Chesney,Here And Now,73 Peak Rank,4 Weeks on Chart
74,"NAV, Gunna & Travis Scott",Turks,17 Peak Rank,5 Weeks on Chart
75,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,71 Peak Rank,4 Weeks on Chart
76,Jordan Davis,Slow Dance In A Parking Lot,37 Peak Rank,17 Weeks on Chart
77,Summer Walker & Usher,Come Thru,42 Peak Rank,18 Weeks on Chart
78,Don Toliver,After Party,78 Peak Rank,2 Weeks on Chart
79,Jake Owen,Homemade,39 Peak Rank,14 Weeks on Chart
80,Regard,Ride It.,80 Peak Rank,3 Weeks on Chart
81,Keith Urban,God Whispered Your Name,81 Peak Rank,2 Weeks on Chart
82,Scotty McCreery,In Between,82 Peak Rank,3 Weeks on Chart
83,YoungBoy Never Broke Again,Ain't Easy,83 Peak Rank,1 Weeks on Chart
84,StaySolidRocky,Party Girl,84 Peak Rank,1 Weeks on Chart
85,Maddie & Tae,Die From A Broken Heart,80 Peak Rank,3 Weeks on Chart
86,YoungBoy Never Broke Again,Diamonds,86 Peak Rank,1 Weeks on Chart
87,Lil Uzi Vert,Myron,13 Peak Rank,7 Weeks on Chart
88,Noah Cyrus & Leon Bridges,July,85 Peak Rank,9 Weeks on Chart
89,Megan Thee Stallion,Captain Hook,74 Peak Rank,4 Weeks on Chart
90,YoungBoy Never Broke Again Featuring Sherhonda Gaulden,Bout My Business,90 Peak Rank,1 Weeks on Chart
91,Lil Uzi Vert,That Way,20 Peak Rank,9 Weeks on Chart
92,YoungBoy Never Broke Again,Rough Ryder,92 Peak Rank,1 Weeks on Chart
93,Jhene Aiko Featuring H.E.R.,B.S.,24 Peak Rank,6 Weeks on Chart
94,Alicia Keys,Underdog,69 Peak Rank,5 Weeks on Chart
95,Florida Georgia Line,I Love My Country,81 Peak Rank,2 Weeks on Chart
96,DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,50 Peak Rank,2 Weeks on Chart
97,Carrie Underwood,Drinking Alone,97 Peak Rank,1 Weeks on Chart
98,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD,38 Peak Rank,5 Weeks on Chart
99,YoungBoy Never Broke Again Featuring DaBaby,Thug Of Spades,99 Peak Rank,1 Weeks on Chart
100,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,81 Peak Rank,7 Weeks on Chart
